driver,raceId,avgLapTime,points
Nick Heidfeld,60,87.05868333333333,10.0
Nick Heidfeld,61,82.46820289855073,12.0
Nick Heidfeld,63,80.30278260869565,13.0
Nick Heidfeld,64,89.37088888888889,13.0
Nick Heidfeld,65,96.92518571428572,19.0
Nick Heidfeld,66,96.38082142857142,19.0
Nick Heidfeld,67,85.60913207547169,20.0
Nick Heidfeld,68,106.15582142857143,22.0
Nick Heidfeld,69,96.40581132075471,23.0
Nick Heidfeld,70,79.46179365079365,23.0
Nick Heidfeld,72,98.67721428571429,6.0
Nick Heidfeld,73,95.54856,6.0
Nick Heidfeld,74,86.01940322580646,9.0
Nick Heidfeld,75,80.63706153846154,9.0
Nick Heidfeld,76,81.14657692307692,17.0
Nick Heidfeld,77,93.61381355932204,25.0
Nick Heidfeld,78,78.05383720930233,25.0
Nick Heidfeld,80,83.71612121212121,25.0
Nick Heidfeld,81,86.99425423728813,25.0
Nick Heidfeld,82,79.10121212121213,25.0
Nick Heidfeld,83,84.48467142857142,28.0
Nick Heidfeld,84,93.11893103448276,28.0
Nick Heidfeld,92,96.1675357142857,0.0
Nick Heidfeld,93,86.54508333333332,0.0
Nick Heidfeld,94,82.74018181818181,0.0
Nick Heidfeld,95,85.57694666666666,2.0
Nick Heidfeld,96,94.86738983050849,2.0
Nick Heidfeld,97,78.68464705882353,3.0
Nick Heidfeld,98,91.69546511627908,3.0
Nick Heidfeld,99,80.61933823529411,3.0
Nick Heidfeld,100,86.9445593220339,3.0
Nick Heidfeld,101,81.08164285714285,3.0
Nick Heidfeld,102,84.69130882352941,3.0
